column_name,mean,std,min,max,missing_count
Air Temperature,12.627175898554565,10.433974578756501,-29.78,37.6,75
Wet Bulb Temperature,10.27695784759325,9.402919576653897,-28.9,28.4,75930
Humidity,68.02218270930665,15.634776999655456,0.0,100.0,0
Rain Intensity,0.15894938886073007,1.794148526857174,0.0,183.6,75930
Interval Rain,0.14239256364664585,1.0970164626437076,-0.9,63.42,0
Total Rain,141.49639215946954,190.46993136317823,0.0,1056.1,75930
Precipitation Type,4.268377801228095,15.59056706619292,0.0,70.0,75930
Wind Direction,140.80284187304807,122.0036984530056,0.0,359.0,0
Wind Speed,2.9188018076309743,5.3423333622411455,0.0,999.9,0
Maximum Wind Speed,3.5571406008793605,5.955488605878262,0.0,999.9,0
Barometric Pressure,994.3136692958349,10.030056764115576,0.0,3098.5,146
Solar Radiation,112.36404302039443,842.8800293589734,-100000.0,1277.0,0
Heading,281.95622730558625,142.7790460676578,0.0,359.0,75930
Battery Life,13.16320288976406,1.5446172807858742,0.0,15.3,0
