feature,importance
Wet Bulb Temperature,0.6242427462075042
Battery Life,0.1850479439654531
Humidity,0.054639118923393966
Barometric Pressure,0.04087671797340148
Wind Direction,0.02878540675953422
Solar Radiation,0.019057420975001033
Heading,0.018906737922237165
Maximum Wind Speed,0.014383482997704032
Wind Speed Squared,0.006499763249697703
Wind Speed,0.0064022714521781736
Station Name_Foster Weather Station,0.000843973458828744
Wind Speed Categories_Very Slow,0.00026409812571972276
Total Rain,4.840579040037683e-05
Station Name_Oak Street Weather Station,1.9121989460960945e-06
Rain Intensity,0.0
Interval Rain,0.0
